Date,Open,High,Low,Close,Adj Close,Volume
1988-06-01,3.546875,3.828125,3.531250,3.828125,2.083415,134989600
1988-07-01,3.828125,4.234375,3.750000,4.109375,2.261220,126448800
1988-08-01,4.078125,4.140625,3.703125,3.750000,2.063470,85442400
1988-09-01,3.781250,4.062500,3.593750,4.031250,2.241850,95676000
1988-10-01,4.031250,4.171875,3.859375,3.921875,2.181023,94461600
1988-11-01,3.921875,3.953125,3.656250,3.781250,2.102819,92636800
1988-12-01,3.781250,3.968750,3.703125,3.921875,2.181023,85762400
1989-01-01,3.859375,4.218750,3.750000,4.218750,2.371523,100060000
1989-02-01,4.203125,4.375000,3.953125,3.984375,2.239772,85315200
1989-03-01,3.984375,4.234375,3.921875,4.062500,2.283689,113840000
1989-04-01,4.062500,4.546875,4.031250,4.500000,2.563036,96506400
1989-05-01,4.437500,4.984375,4.281250,4.734375,2.696528,123687200
1989-06-01,4.765625,5.093750,4.703125,4.765625,2.714328,114704000
1989-07-01,4.781250,5.406250,4.718750,5.406250,3.113577,82736800
1989-08-01,5.390625,5.484375,5.031250,5.281250,3.041589,131009600
1989-09-01,5.281250,5.296875,4.890625,5.125000,2.982683,93068800
1989-10-01,5.125000,5.500000,4.625000,5.187500,3.019057,143046400
1989-11-01,5.156250,5.484375,5.000000,5.453125,3.173646,78205600
1989-12-01,5.468750,5.609375,5.281250,5.609375,3.264583,78972000
1990-01-01,5.593750,5.921875,5.140625,5.328125,3.131891,116814400
1990-02-01,5.296875,5.562500,5.046875,5.500000,3.232920,78285600
1990-03-01,5.500000,5.953125,5.484375,5.906250,3.471717,95044800
1990-04-01,5.875000,6.484375,5.843750,6.203125,3.690206,96115200
1990-05-01,6.250000,7.187500,6.203125,7.046875,4.192148,136082400
1990-06-01,7.093750,7.953125,7.062500,7.796875,4.638317,158752800
1990-07-01,7.828125,9.187500,7.562500,7.843750,4.710795,207493200
1990-08-01,7.718750,7.812500,6.218750,7.125000,4.279127,217812400
1990-09-01,7.000000,7.218750,6.406250,6.812500,4.112993,107956000
1990-10-01,6.937500,7.500000,6.218750,6.687500,4.037528,163780800
1990-11-01,6.718750,7.562500,6.562500,7.531250,4.546937,90453200
1990-12-01,7.687500,8.250000,7.343750,7.562500,4.565801,91630000
1991-01-01,7.500000,8.250000,7.125000,8.250000,5.003692,122999600
1991-02-01,8.312500,9.531250,8.187500,8.843750,5.363807,143195600
1991-03-01,8.812500,9.968750,8.687500,9.687500,5.875550,103148400
1991-04-01,9.718750,11.062500,9.625000,10.125000,6.169446,112803600
1991-05-01,10.187500,10.718750,9.968750,10.718750,6.531232,102512800
1991-06-01,10.687500,10.968750,10.281250,10.687500,6.512188,83916000
1991-07-01,10.750000,11.937500,10.750000,11.906250,7.284413,104608800
1991-08-01,11.843750,12.968750,11.125000,12.656250,7.743277,137896400
1991-09-01,12.656250,12.750000,11.656250,11.937500,7.329009,94159600
1991-10-01,12.000000,12.406250,11.312500,11.562500,7.098780,102027200
1991-11-01,11.562500,12.750000,11.343750,12.218750,7.501681,100899600
1991-12-01,12.062500,14.968750,12.031250,14.718750,9.036551,130064400
1992-01-01,14.625000,14.875000,13.343750,13.468750,8.297312,152891200
1992-02-01,13.468750,14.125000,12.531250,13.500000,8.316562,111859200
1992-03-01,13.500000,13.625000,13.000000,13.312500,8.201059,91186800
1992-04-01,13.218750,13.812500,12.625000,13.062500,8.079170,118958800
1992-05-01,13.062500,13.500000,12.781250,13.250000,8.195136,86198400
1992-06-01,13.250000,13.968750,13.062500,13.437500,8.311106,92739600
1992-07-01,13.468750,14.062500,13.312500,13.968750,8.673532,91216800
1992-08-01,13.937500,14.812500,13.781250,14.281250,8.867566,70438800
1992-09-01,14.250000,14.875000,14.187500,14.781250,9.178025,70282800
1992-10-01,14.750000,15.562500,13.843750,15.218750,9.484750,93315200
1992-11-01,15.218750,16.156250,15.031250,16.093750,10.030076,83831200
1992-12-01,16.031250,16.468750,15.593750,16.000000,9.971644,100028400
1993-01-01,16.031250,16.343750,14.625000,16.281250,10.180925,157607200
1993-02-01,16.281250,16.843750,14.687500,16.250000,10.161389,148545000
1993-03-01,16.437500,17.062500,15.000000,15.875000,9.926885,169356400
1993-04-01,16.000000,16.125000,12.875000,13.375000,8.379848,246302000
1993-05-01,13.250000,14.250000,12.937500,13.937500,8.732271,139323400
1993-06-01,13.875000,14.187500,11.812500,13.125000,8.223214,163428400
1993-07-01,13.062500,13.437500,12.312500,12.687500,7.968625,80628400
1993-08-01,12.750000,13.250000,12.375000,12.875000,8.086386,101939200
1993-09-01,12.812500,12.937500,11.500000,12.312500,7.752635,130600200
1993-10-01,12.250000,13.750000,12.062500,13.187500,8.303576,110966800
1993-11-01,13.062500,15.250000,13.000000,14.312500,9.011947,122660200
1993-12-01,14.312500,14.437500,12.500000,12.500000,7.888125,95352000
1994-01-01,12.687500,13.500000,12.062500,13.250000,8.361414,112135800
1994-02-01,13.562500,14.562500,13.312500,14.187500,8.953021,101791600
1994-03-01,14.187500,14.625000,12.187500,12.937500,8.164211,111439000
1994-04-01,12.562500,13.500000,11.750000,12.625000,7.991325,101115800
